iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3
1,2.128087269606579,0.783445218882215,1.919862083031739,4.435989552993498,1.5942996123890898,2.046636266747295,4.166920137663828,0.6109754506908897,-0.002289189163018955,0.6216969607424954,-0.16096135901867872,-3.14,-2.0699925779918575,-0.0011612058681029654
2,1.4311836183736735,0.6534180729757961,1.2496129565931695,4.468413286315935,1.1645308103143301,1.7543155427809303,3.998374990731828,0.012257026576081964,-0.18707973782382686,1.2323959237078,-0.9766229487142393,-3.0182518479996707,-1.6031830663960633,-0.09397795537338599
3,0.9798616346748223,0.5330956301915379,0.8122824533868721,4.45171458816932,1.116020447456377,1.4981228218459062,3.9611952843820633,-0.02655527659594177,-0.21243917581889973,1.6060513996018622,-1.4157776599780805,-2.9454738137816268,-1.2350552319016534,-0.06482553690256862
4,0.6562845241629047,0.38420512818094077,0.5287810516820897,4.443959604704704,1.219541330901927,1.3474903159851181,3.9858923152217955,0.003967829127079721,-0.1694097022046189,1.7911909603826235,-1.491410451315816,-2.9595353237995274,-0.8429845750320532,-0.07282335327518524
5,0.4329144217735161,0.2609816839608478,0.3444215764445597,4.439291969040354,1.3337669863572985,1.2781338557148227,4.021678241652036,0.04176245411002673,-0.12438721628163281,1.8559897477011302,-1.444116831689553,-2.9725671386498944,-0.546344326929165,-0.08886255024774939
6,0.28385293292968006,0.1736734774177179,0.2242394021475895,4.437203675223275,1.420853287461157,1.2543958769208572,4.055562237213209,0.0738799053010954,-0.09009545080009884,1.864009291485929,-1.3764858458910267,-2.9773640906643215,-0.3499713808989479,-0.10476920120247772
7,0.18562149076489567,0.11459003117105142,0.14594906611007094,4.436335310062816,1.480524435854759,1.2495550079155064,4.085161492519292,0.09816912865005628,-0.06410094254311952,1.8545405300475588,-1.320487606591945,-2.978986245202665,-0.2245522434294686,-0.11909684695418675
8,0.12117882941306207,0.0752537571607906,0.09495748298464911,4.435996293712778,1.5200395848523156,1.2510026911537306,4.109589105127534,0.11558057967542276,-0.04436439880356419,1.8426366361222977,-1.2801846251620193,-2.980525539720824,-0.14462714562273288,-0.1302763984851199
9,0.07900716138701863,0.049267901517556376,0.061757864309636035,4.435890277595773,1.5459208824834691,1.2538744377912832,4.128286963034144,0.12768316299803675,-0.029954617637910665,1.832619087901802,-1.2525770110041057,-2.9824928912335538,-0.09342528503786007,-0.1379884015947744
10,0.05146190059507929,0.03218344970778235,0.040154870108419845,4.435879129634015,1.5628092937127949,1.2565494453134776,4.141711925578533,0.1359199004744076,-0.01988896886042204,1.825172027065375,-1.2340531917829252,-2.984487113312095,-0.06045568154412441,-0.14294662702848301
11,0.033497071479306646,0.02098983982656797,0.02610470076128159,4.435899446549716,1.5738122914378037,1.2586273647946422,4.150954772786845,0.14144167814702474,-0.01307312800885611,1.8199389817871148,-1.221759916155448,-2.9861796971752517,-0.039151153019433206,-0.14604603754861856
12,0.02179342026471949,0.013674308287546502,0.016969442317451063,4.4359251826855255,1.5809748217321509,1.2601206548395507,4.1571640348108785,0.1451048116836581,-0.00854140370231234,1.8163714804266646,-1.2136577675847668,-2.9874724899373737,-0.02535405731405626,-0.14797522382934106
13,0.014174570088596742,0.008901775523936046,0.011030685664655078,4.435947439263505,1.5856349600856503,1.261151391000019,4.16127820239273,0.14751787696396654,-0.005558359940994648,1.8139822182580558,-1.208342534180568,-2.988400568277401,-0.016406697262256634,-0.14918316186347708
