iteration,err_norm,position_error,orientation_error,tcp_x,tcp_y,tcp_z,q0_dda_joint_linear_track,q1_dda_joint_carriage,q2_dda_joint_base,q3_dda_joint_shoulder,q4_dda_joint_elbow,q5_dda_joint_wrist1,q6_dda_joint_wrist2,q7_dda_joint_wrist3,dq0_dda_joint_linear_track,dq1_dda_joint_carriage,dq2_dda_joint_base,dq3_dda_joint_shoulder,dq4_dda_joint_elbow,dq5_dda_joint_wrist1,dq6_dda_joint_wrist2,dq7_dda_joint_wrist3
0,6.645594842201071,5.886856388276343,1.6378338249985964,0.47255,3.7499999999986655,2.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8.051661674528916,5.835779420748017,2.4899073210545044,0.18654109841358973,2.377678222668668,1.4863733416181018,0.34999999999999964,-0.350000000136896,-0.5355236512291356,-1.0990000000000002,-1.099000000027819,1.099,1.0989999999896654,1.0989999999999966,0.34999999999999964,-0.350000000136896,-0.5355236512291356,-1.0990000000000002,-1.099000000027819,1.099,1.0989999999896654,1.0989999999999966
2,6.219715222716604,4.8405818833568866,2.0966732304122155,1.4316655977379948,3.418765172104673,2.402484894847782,0.6999999999999748,-1.3689538391759015e-10,0.5634763487708646,-8.517475613700753e-11,-0.9624762154170695,0.0,-1.0334622047025732e-11,2.1194999999999986,0.3499999999999751,0.3500000000000006,1.0990000000000002,1.0989999999148254,0.13652378461074954,-1.099,-1.099,1.020500000000002
3,5.338947275067766,4.221596671839636,2.0446707134104027,1.9664950844834428,2.9784500862509544,1.0794041456568204,1.0499999999999745,-0.35000000013689536,0.7058703930365176,-1.0990000000851743,-1.8139082016315256,1.0989999999999804,-0.11143577058552215,2.6297499999999996,0.34999999999999976,-0.35,0.14239404426565294,-1.0989999999999995,-0.851431986214456,1.0989999999999804,-0.11143577057518753,0.510250000000001
4,4.661239860720854,4.2952380826653895,1.1159293224910045,2.0036340149050496,3.3553120631020996,2.476911300332326,1.3999999999999742,-1.3689416267226306e-10,0.35441289820303623,-9.481282425838344e-11,-0.7149082016315254,-1.9539925233402755e-14,-0.7470880947988919,1.5307500000603746,0.34999999999999964,0.3500000000000012,-0.3514574948334813,1.0989999999903615,1.0990000000000002,-1.099,-0.6356523242133698,-1.098999999939625
5,3.4103150623887575,3.128312953421259,1.0458863868949757,3.233361806400317,3.4009083636022512,1.6844997655636151,1.7499999999903046,-0.3500000001368942,1.4534128982960461,-1.099000000094813,-0.5301895607850107,1.0989999999999809,-1.614216624070687,0.5850401875063695,0.3499999999903305,-0.35000000000000003,1.0990000000930098,-1.0990000000000002,0.18471864084651468,1.0990000000000004,-0.8671285292717951,-0.9457098125540051
6,3.4109908529611896,3.057085555182627,1.118620253303783,2.9435518318642515,2.0386413144041735,1.8270851095038623,2.0999999999562076,-0.6750000000684471,0.35441289829604616,-1.4685141083501845,0.5688104392159761,-1.9095836023552692e-14,-0.7172231078634832,1.627403874013768,0.3499999999659029,-0.3249999999315529,-1.099,-0.36951410825537145,1.0990000000009867,-1.099,0.8969935162072038,1.0423636865073984
7,2.8195840603070814,2.510021011999901,1.0370121210583845,3.7158951254920383,2.915683164168617,2.151138715588246,2.449999999989722,-0.8375000000342233,1.4534128982960461,-0.6640645476233759,-0.5301895607840215,0.7810696156088202,-1.8162231078634832,0.5284038740132699,0.3500000000335146,-0.16249999996577624,1.099,0.8044495607268086,-1.0989999999999975,0.7810696156088393,-1.099,-1.099000000000498
8,2.7078535300143334,2.3609775604559142,1.088862931453298,3.673356817683676,1.813841658820239,1.3892377911337075,2.799999999979989,-0.8009132567461165,0.3544128982960357,-1.763064547623376,0.2717512457616126,0.9999723587119689,-0.7969301702256975,1.1551860246987866,0.349999999990267,0.03658674328810685,-1.0990000000000104,-1.0990000000000002,0.801940806545634,0.21890274310314872,1.0192929376377857,0.6267821506855167
9,2.094438549128652,1.9106654630142375,0.7577363151578602,4.323794818000643,2.7455328099947,2.2231317683660783,3.149999999910386,-0.9004566283730582,1.3424755089572065,-0.664064547623376,-0.205069029636692,-0.0990276412880311,-1.8959301702256517,1.0588686063551649,0.34999999993039665,-0.09954337162694171,0.9880626106611707,1.099,-0.47682027539830457,-1.099,-1.0989999999999542,-0.09631741834362173
10,1.5697730498046687,1.4966306550830772,0.4373290387715401,4.971255036253955,2.729344686715075,1.0271721864541958,3.4999999999134355,-0.9502283141865292,1.4454993380987147,-1.763064547623376,-0.2353452769166962,0.9999723587119689,-2.1874462805693127,0.3450670092854703,0.35000000000304965,-0.04977168581347102,0.1030238291415082,-1.099,-0.03027624728000422,1.099,-0.291516110343661,-0.7138015970696946
11,1.3474211001061398,1.3243584809221016,0.23310939444418846,4.792160846162915,2.374130352393782,2.110517740785807,3.849999999914083,-0.6002283141865296,0.6258489937374132,-0.7973855809730663,-0.1590609924897189,-0.0990276412892499,-1.6492370356982629,1.0519940253817246,0.35000000000064757,0.34999999999999964,-0.8196503443613015,0.9656789666503096,0.07628428442697732,-1.0990000000012188,0.5382092448710498,0.7069270160962543
12,0.9878055933927529,0.9099994223138786,0.37420748493137224,5.58370912134169,2.6989660780900646,1.4917317451646865,4.199999999910433,-0.800114157099521,1.2865918956400897,-1.8963855809730663,0.9080000500612437,-0.04587413844632328,-2.1659225628094836,0.3533574613947372,0.3499999999963497,-0.1998858429129915,0.6607429019026765,-1.099,1.0670610425509626,0.05315350284292662,-0.5166855271112207,-0.6986365639869874
13,0.42896252156364334,0.4066082416106709,0.13596753534502157,5.6526656318178725,2.0888050914428935,1.9319628134329698,4.549999999910432,-0.9000570785497605,0.760883064014498,-1.1605225343756547,0.23062500079062698,-0.18763831370201006,-1.8083289674221659,0.848989569941105,0.34999999999999964,-0.09994292145023942,-0.5257088316255917,0.7358630465974116,-0.6773750492706168,-0.1417641752556868,0.3575935953873177,0.49563210854636774
14,0.021005332057700728,0.020133397503168268,0.005989111994580466,6.001334577894168,1.9526432373178888,1.7939894355921355,4.89136912854007,-0.9500285392748802,0.7260439883732279,-1.2705041263472674,0.1947873052154352,-0.09249842701756954,-1.906625612655797,0.9163570964234694,0.34136912862963786,-0.04997146072511971,-0.03483907564127009,-0.10998159197161272,-0.035837695575191786,0.09513988668444052,-0.09829664523363113,0.06736752648236444
15,0.000195923978085516,0.00019581484290572102,6.5385032035786286e-06,5.998574952911109,1.9413706652273761,1.7775359959203043,4.885325116570942,-0.9544173360473397,0.7245177280336531,-1.2877120812000005,0.19759669777452732,-0.07262061426923722,-1.9085747039235437,0.9168064142711401,-0.006044011969128071,-0.004388796772459513,-0.0015262603395748142,-0.017207954852733076,0.0028093925590921276,0.01987781274833232,-0.001949091267746672,0.0004493178476706605
16,3.315219167097995e-09,3.308499698740887e-09,0.0,5.998684557397473,1.9412298931215286,1.777616694300693,4.885469228645228,-0.9545654293856618,0.7244998095926714,-1.287634979522678,0.19758763976816646,-0.07267961651400083,-1.9085626829722016,0.9168279538838814,0.00014411207428555173,-0.00014809333832210836,-1.7918440981756767e-05,7.710167732244422e-05,-9.058006360862514e-06,-5.90022447636146e-05,1.202095134211767e-05,2.1539612741316994e-05
