iteration,err_norm,position_error,orientation_error,q0_rt_joint_linear_track,q1_rt_joint_carriage,q2_rt_base,q3_rt_shoulder,q4_rt_elbow,q5_rt_wrist1,q6_rt_wrist2,q7_rt_wrist3
0,9.928026008246128,6.091893280036042,3.139629241989012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8.923551569357334,6.82839573431825,2.398545067249189,0.34999999999999964,0.35000000000603404,0.8406595757431152,1.0990000000000002,0.02243171557971939,-1.099,-1.099000000199201,-1.099
2,6.524972658817713,5.5682946118827585,1.7008936092483775,0.700000000372862,0.6750000000030171,-0.25834042425453996,1.796209624778648,1.1214317155797255,-1.1945730113029518,-1.5808000587311983,-1.2633966437784407
3,4.004352988867879,3.6512981538177836,1.3647884038478393,1.0500000005943737,0.3250000000030171,-1.35734042425454,0.6972096247786479,0.324606187200113,-1.9184984007429708,-1.0753609699701663,-0.16439664377844032
4,3.303809385987407,3.2741574556057915,0.34293833039444327,1.4000000005251763,0.6625000000015049,-1.3840389434353153,1.7962096247786479,-0.2944305402392885,-2.2681280790954315,-1.3741840777031928,-1.26339664377844
5,3.3820488965484787,3.1767839199745396,0.8501126107597204,1.7500000005123202,0.8312500000874388,-1.394539913736316,0.6972096247786479,-0.1380654416633309,-2.6642009369672492,-2.2570920388515967,-0.1643966437784401
6,2.8647142476262744,2.7970475499364333,0.571891466122263,2.100000000491078,0.59524110054139,-1.568105538976316,1.7962096247786479,-0.29952412407362006,-2.7711214602917424,-1.1580920388515967,-1.2633966437784403
7,2.6233450509467358,2.4946112156912394,0.6722932128884069,2.4500000004875315,0.797620550270695,-0.9853411213722308,0.6972096247786481,-0.009113237509669192,-2.8781989764784375,-2.1490460194257985,-0.16439664377844032
8,2.540336658440888,2.337821525981572,0.8836991402949838,2.8000000004693675,0.8988102751352979,-1.9142752798244833,1.796209624778648,-0.6937313936898957,-2.454480658620545,-1.3096530815925824,-1.2633966437784403
9,1.8860447855044187,1.80525490263583,0.4861857413571683,3.1500000004604853,0.5488102751322037,-0.9459899318251656,0.6972096247786481,0.020611757286110977,-2.7972403293102728,-1.71716339362289,-0.30324193372811936
10,1.9703815630312207,1.8438118252497921,0.620404000961961,3.5000000004676233,0.7744051375676586,-1.864520816769494,1.75357647916619,-1.0783882427138929,-2.066122175201411,-1.9109977776756764,-1.4022419337281193
11,1.5435619191896226,1.4808159446413984,0.4100468458896841,3.8500000004604926,0.7111670212520275,-0.9791117433396043,0.6545764791597737,-0.4573106464776132,-2.6030610876007056,-2.0579759627602616,-0.30324193372811936
12,1.279680386607131,1.0791596334758446,0.6587458160435431,4.2000000004688,0.8555835106260138,-1.703292330301764,0.6684255231430252,0.6416893535327189,-2.113644897284213,-1.408650113451501,-1.216237855980233
13,0.7554131657046395,0.49965453884666905,0.5607252667446442,4.55000000048503,0.9277917553130068,-1.2566364861214194,0.8444758086050062,-0.45731064647520914,-2.6268224486421063,-1.9788429914270538,-0.38279738768262306
14,0.2611367811313737,0.24831382481841502,0.08063264795585486,4.900000000484575,0.96389587765743,-1.1136693495903311,0.3194295039063325,0.6416893535247908,-2.5217734312497795,-1.7823568611475296,-0.8296230482101574
15,0.06600509501277997,0.05569026073058455,0.03542521174908658,5.208940707936176,0.981947938828715,-0.8893307649081652,0.2901438699043122,0.44612346673330006,-2.6445997053623707,-1.9141721428011647,-0.5780367663503587
16,0.0022032692169648076,0.0018678745021986378,0.0011685203092947482,5.2600164652615256,0.9909739694143576,-0.8215698751116053,0.30544199505932246,0.4089745284607003,-2.6728585929641846,-1.942405235330395,-0.5404218112426765
17,6.747937744316992e-07,6.570309868376296e-07,1.5196262340524166e-07,5.260640677750414,0.9917749622166346,-0.8211100546610434,0.3059334438130913,0.40904677884980567,-2.672405231916255,-1.9426430012742626,-0.5403362991130954
